Kortkode;forrigekode;FP;SP;Klasse
LM-KT_B;KT-e;4;4;VN
LM-LT_0;SH-0;1;1;VN
LM-LT_A;SH-cd;3;3;VN
LM-LT_B;SH-0;2;2;VN
LM-LT_C;SH-e;3;3;VN
LM-LT_D;SH-b;4;4;VN
LM-LT_E;SH-0;2;2;VN
LM-LT_G;SH-a;1;1;VN
LM-OV;FR;;;VN
LM-OV_0;FR-0;4;4;VN
LM-OV_A;FR-a;4;4;VN
LM-PF_0;PF-0;4;4;VN
LM-PF_A;PF-a;4;4;VN
LM-ST_0;S3S-0;4;4;VN
LM-ST_A;S3S-a;4;4;VN
LM-ST_B;S3S-b;4;4;VN
LM-ST_C;S3S-c;4;4;VN
LM-ST_D;S3S-d;4;4;VN
LM-ST_E;S3S-e;4;4;VN
LM-ST_F;S3F-¤,IO-¤;3;3;VN
LM-ST_H;S3E-e,S3F-¤;4;4;VN
LM-ST_J;TV-ghijk,IO-¤;2;2;VN
LM-VT_0;VT-0;4;4;VN
LM-VT_A;VT-a;4;4;VN
LM-VT_B;VT-b;4;4;VN
LM-VT_E;VT-c;4;4;VN
LM-DL;DL;;;VN
LM-DL_0;DL-0;3;3;VN
LM-DL_a;DL-a;4;4;VN
LM-DL_b;DL-b;3;3;VN
LM-DL_c;DL-b;2;2;VN
LM-DL_d;DL-c;4;4;VN
LM-DL_e;DL-d;4;4;VN
LM-DL_y;DL-e+;4;4;VN
LM-FI;S3F;;;VN
LM-FI_0;S3F-0;3;3;VN
LM-FI_a;S3F-a;4;4;VN
LM-FI_b;S3F-b;4;4;VN
LM-FI_c;S3F-c;4;4;VN
LM-FI_d;S3F-¤;4;4;VN
LM-FI_y;S3F-¤;4;4;VN
LM-GS;GS;;;VN
LM-GS_0;GS-0;4;4;VN
LM-GS_a;GS-a;4;4;VN
LM-GS_b;GS-b;4;4;VN
LM-GS_c;GS-c;4;4;VN
LM-GS_d;GS-d;4;4;VN
LM-GS_y;GS-¤;4;4;VN
LM-HF;HF;;;VN
LM-HF_0;HF-0;4;4;VN
LM-HF_a;HF-a;2;2;VN
LM-HF_b;HF-a;2;2;VN
LM-HF_c;HF-a;2;2;VN
LM-HF_d;HF-b;4;4;VN
LM-HF_z;HF-+;4;4;VN
LM-HU;HU;;;VN
LM-HU_0;HU-0;4;4;VN
LM-HU_a;HU-a;4;4;VN
LM-HU_b;HU-b;4;4;VN
LM-HU_c;HU-c;4;4;VN
LM-HU_y;HU-d;4;4;VN
LM-IB;ny;;;VN
LM-IB_0;ny;;;VN
LM-IB_a;ny;;;VN
LM-IF;IF;;;VN
LM-IF_0;IF-0;4;4;VN
LM-IF_a;IF-a;4;4;VN
LM-IF_b;IF-b;4;4;VN
LM-IF_y;IF-¤;4;4;VN
LM-JF;JF;;;VN
LM-JF_0;JF-0;4;4;VN
LM-JF_a;JF-a;4;4;VN
LM-JF_b;JF-b;4;4;VN
LM-JV;JV;;;VN
LM-JV_0;JV-0;4;4;VN
LM-JV_a;JV-a;4;4;VN
LM-JV_b;JV-b;4;4;VN
LM-JV_c;JV-c;4;4;VN
LM-JV_d;JV-d;4;4;VN
LM-JV_e;JV-e;4;4;VN
LM-JV_y;JV-¤;4;4;VN
LM-KA;KA;;;VN
LM-KA_a;KA-a;4;4;VN
LM-KA_b;KA-b;4;4;VN
LM-KA_c;KA-c;4;4;VN
LM-KA_d;KA-d;4;4;VN
LM-KA_e;KA-e;4;4;VN
LM-KA_f;KA-f;4;4;VN
LM-KA_g;KA-g;4;4;VN
LM-KA_h;KA-h;4;4;VN
LM-KA_i;KA-i;4;4;VN
LM-KA_j;AS-a;4;4;VN
LM-KI;KI;;;VN
LM-KI_0;KI-0;4;4;VN
LM-KI_a;KI-a;4;4;VN
LM-KI_b;KI-b;4;4;VN
LM-KI_c;KI-c;4;4;VN
LM-KI_d;KI-d;4;4;VN
LM-KI_e;KI-e;4;4;VN
LM-KI_y;KI-¤;4;4;VN
LM-MF;MF;;;VN
LM-MF_a;MF-c;4;4;VN
LM-MF_b;MF-d;4;4;VN
LM-MF_c;MF-e;4;4;VN
LM-MF_d;MF-f;4;4;VN
LM-NG;NG;;;VN
LM-NG_0;NG-0;4;4;VN
LM-NG_a;NG-a;4;4;VN
LM-NG_b;NG-b;4;4;VN
LM-NG_c;NG-c;4;4;VN
LM-NG_d;NG-d;4;4;VN
LM-NG_y;NG-¤;4;4;VN
LM-OF;OF;;;VN
LM-OF_0;OF-0;3;3;VN
LM-OF_a;OF-0;2;2;VN
LM-OF_b;OF-a;3;3;VN
LM-OF_c;OF-a;2;2;VN
LM-OF_d;OF-b;3;3;VN
LM-OF_y;OF-b;1;1;VN
LM-OM;OM;;;VN
LM-OM_0;OF-0;4;4;VN
LM-OM_a;OF-a;4;4;VN
LM-OM_b;OF-b;4;4;VN
LM-OM_y;OF-y;4;4;VN
LM-OR;OR;;;VN
LM-OR_0;OR-0;4;4;VN
LM-OR_a;OR-a;4;4;VN
LM-OR_b;OR-b;4;4;VN
LM-OR_c;OR-c;4;4;VN
LM-RU;RU;;;VN
LM-RU_0;RU-0;4;4;VN
LM-RU_a;RU-a;;;VN
LM-RU_b;RU-b;;;VN
LM-RU_c;RU-c;;;VN
LM-RU_d;RU-de;;;VN
LM-RU_y;RU-¤;;;VN
LM-SA;SA;;;VN
LM-SA_0;SA-0;4;4;VN
LM-SA_a;SA-0;4;4;VN
LM-SA_b;SA-a;4;4;VN
LM-SA_c;SA-a;4;4;VN
LM-SA_d;SA-b;4;4;VN
LM-SA_e;SA-c;4;4;VN
LM-SA_f;SA-d;4;4;VN
LM-SA_g;SA-e;4;4;VN
LM-SA_h;SA-f;4;4;VN
LM-SA_z;SA-+;4;4;VN
LM-SE;SE;;;VN
LM-SE_0;SE-0;4;4;VN
LM-SE_a;SE-a;4;4;VN
LM-SE_b;SE-b;4;4;VN
LM-SE_y;SE-¤;4;4;VN
LM-SF;SF;;;VN
LM-SF_0;SF-0;4;4;VN
LM-SF_a;SF-a;4;4;VN
LM-SF_b;SF-b;4;4;VN
LM-SF_y;SF-¤;4;4;VN
LM-SM;SM;;;VN
LM-SM_0;SM-0;4;4;VN
LM-SM_a;SM-a;4;4;VN
LM-SM_b;SM-b;4;4;VN
LM-SM_c;SM-c;4;4;VN
LM-SM_d;SM-d;4;4;VN
LM-SM_e;SM-e;4;4;VN
LM-SM_f;SM-f;4;4;VN
LM-SM_g;SM-g;4;4;VN
LM-SM_h;SM-h;4;4;VN
LM-SM_i;SM-i;4;4;VN
LM-SM_z;SM-¤;4;4;VN
LM-SS;SS;;;VN
LM-SS_0;SS-0;4;4;VN
LM-SS_a;SS-a;4;4;VN
LM-SS_b;SS-b;4;4;VN
LM-SS_c;SS-c;4;4;VN
LM-SS_d;SS-d;4;4;VN
LM-SS_e;SS-e;4;4;VN
LM-SS_f;SS-f;4;4;VN
LM-SS_g;SS-g;4;4;VN
LM-SS_h;SS-h;4;4;VN
LM-SS_i;SS-i;4;4;VN
LM-SS_j;SS-j;4;4;VN
LM-SS_k;SS-k;4;4;VN
LM-SS_y;SS-y;4;4;VN
LM-SU;SU;;;VN
LM-SU_0;SU-0;3;3;VN
LM-SU_a;SU-0;1;1;VN
LM-SU_b;SU-a;4;4;VN
LM-SU_c;SU-b;4;4;VN
LM-SU_d;SU-c;4;4;VN
LM-SU_y;SU-¤;4;4;VN
LM-SV;SV;;;VN
LM-SV_0;SV-0;4;4;VN
LM-SV_a;SV-a;4;4;VN
LM-SV_b;SV-b;4;4;VN
LM-SV_c;SV-c;4;4;VN
LM-SV_d;SV-d;4;4;VN
LM-SV_e;SV-e;4;4;VN
LM-SV_f;SV-f;4;4;VN
LM-SV_g;SV-g;4;4;VN
LM-SV_y;SV-¤;4;4;VN
LM-TU;TU;;;VN
LM-TU_0;TU-0;3;3;VN
LM-TU_a;TU-0;2;2;VN
LM-TU_b;TU-0;1;1;VN
LM-TU_c;TU-a;3;3;VN
LM-TU_y;TU-a;1;1;VN
LM-TV;TV;;;VN
LM-TV_0;TV-0;4;4;VN
LM-TV_a;TV-a;4;4;VN
LM-TV_b;TV-b;4;4;VN
LM-TV_c;TV-c;4;4;VN
LM-TV_d;TV-d;4;4;VN
LM-TV_e;TV-e;4;4;VN
LM-TV_f;TV-f;4;4;VN
LM-TV_g;TV-g;4;4;VN
LM-TV_h;TV-h;4;4;VN
LM-TV_i;TV-i;4;4;VN
LM-TV_j;TV-j;4;4;VN
LM-TV_k;TV-k;4;4;VN
LM-TV_l;TV-l;4;4;VN
LM-TV_y;TV-y;4;4;VN
LM-UE;UE;;;VN
LM-UE_0;UE-0;4;4;VN
LM-UE_a;UE-a;4;4;VN
LM-UE_b;UE-b;4;4;VN
LM-UE_c;UE-c;4;4;VN
LM-UE_d;UE-d;4;4;VN
LM-UE_e;UE-e;4;4;VN
LM-UE_f;UE-f;4;4;VN
LM-UE_g;UE-g;4;4;VN
LM-UF;UF;;;VN
LM-UF_a;UF-0;4;4;VN
LM-UF_b;UF-0;4;4;VN
LM-UF_c;UF-0;4;4;VN
LM-UF_d;UF-0;4;4;VN
LM-UF_e;UF-0;4;4;VN
LM-UF_f;UF-0;4;4;VN
LM-UF_g;UF-0;4;4;VN
LM-UF_h;UF-0;4;4;VN
LM-VF;VF;;;VN
LM-VF_0;VF-0;4;4;VN
LM-VF_a;VF-a;4;4;VN
LM-VF_b;VF-b;4;4;VN
LM-VF_c;VF-c;4;4;VN
LM-VF_d;VF-d;4;4;VN
LM-VF_e;VF-e;4;4;VN
LM-VF_f;VF-f;4;4;VN
LM-VF_g;VF-g;4;4;VN
LM-VF_h;VF-h;4;4;VN
LM-VF_y;VF-¤;4;4;VN
LM-VI;VI;;;VN
LM-VI_0;VI-0;4;4;VN
LM-VI_a;VI-a;4;4;VN
LM-VI_b;VI-b;4;4;VN
LM-VI_c;VI-c;4;4;VN
LM-VI_y;VI-¤;4;4;VN
LM-VM;VM;;;VN
LM-VM_0;VM-0;4;4;VN
LM-VM_a;VM-a;4;4;VN
LM-VM_b;VM-b;4;4;VN
LM-VM_c;VM-b;4;4;VN
LM-VM_z;VM-+;4;4;VN
LM-VS;VS;;;VN
LM-VS_0;VS-0;4;4;VN
LM-VS_a;VS-a;4;4;VN
LM-VS_b;VS-b;3;3;VN
LM-VS_c;VS-b;2;2;VN
LM-VS_d;VS-c;4;4;VN
LM-VS_e;VS-d;4;4;VN
LM-VS_y;VS-¤;4;4;VN
LM-DW_0;DK-0;4;4;VN
LM-DW_01;DK-a;4;4;VN
LM-DW_02;DK-b;4;4;VN
LM-DW_03;DK-c;4;4;VN
LM-DW_04;DK-d;4;4;VN
LM-DW_05;DK-e;4;4;VN
LM-DW_06;DK-f;4;4;VN
LM-DW_07;DK-g;4;4;VN
LM-DW_08;DK-h;4;4;VN
LM-DW_09;DK-i;4;4;VN
LM-DW_10;DK-j;4;4;VN
LM-DW_11;DK-k;4;4;VN
LM-DW_12;DK-l;4;4;VN
LM-DW_13;DK-m;4;4;VN
LM-DW_14;DK-n;4;4;VN
LM-DW_15;DK-o;4;4;VN
LM-DW_16;DK-p;4;4;VN
LM-DW_17;DK-q;4;4;VN
LM-DW_18;DK-r;4;4;VN
LM-DW_19;DK-s;4;4;VN
LM-DW_20;DK-t;4;4;VN
LM-DW_21;DK-u;4;4;VN
LM-DW_22;DK-v;4;4;VN
LM-DW_23;DK-w;4;4;VN
LM-DW_24;DK-x;4;4;VN
LM-DW_25;DK-y;4;4;VN
LM-DW_26;DK-¤;4;4;VN
KM-BA;7SN;;;VN
KM-BA_KA;7SN-BE;4;4;VN
KM-BA_KB;7SN-HJ;4;4;VN
KM-BA_KC;7SN-IN;4;4;VN
KM-BA_KD;7SN-BR;4;4;VN
KM-BA_KE;7SN-SN;4;4;VN
KM-BA_KF;7SN-SO;4;4;VN
KM-BA_KG;7SN-VI;4;4;VN
KM-BA_KH;7SN-TF;4;4;VN
KM-BA_KU;7SN-XF;4;4;VN
TF-RA;KLG-REIA;;;VN
TF-RA_a;KLG-REIA-1;4;4;VN
TF-RA_b;KLG-REIA-2;4;4;VN
TF-RA_c;KLG-REIA-3;4;4;VN
TF-RA_d;KLG-REIA-4;4;4;VN
TF-RA_e;KLG-REIA-5;4;4;VN
TF-RD;KLG-REIDKF;;;VN
TF-RD_a;KLG-REIDKF-1;4;4;VN
TF-RD_b;KLG-REIDKF-2;4;4;VN
TF-RD_c;KLG-REIDKF-3;4;4;VN
TF-RD_d;KLG-REIDKF-4;4;4;VN
TF-RK;KLG-REIA;;;VN
TF-RK_a;KLG-REIA-1;4;4;VN
TF-RK_b;KLG-REIA-2;4;4;VN
TF-RK_c;KLG-REIA-3;4;4;VN
TF-EK;8ER;4;4;VN
TF-RR;8RR;4;4;VN
TF-TH;8TH;4;4;VN
TF-TK;8TP;4;4;VN
TF-TU;8TP;4;4;VN
RS-FI;9AR;4;4;VN
RS-NE;9NE;4;4;VN
RS-TE;9TE;4;4;VN
RS-VA;9VA;4;4;VN
RS-VD;9VD;4;4;VN
MD-BK;3BF-KB;4;4;VN
MO-DE;5KU-AR-DA;2;2;VN
MO-ED;5AB-DO-FY,ST;2;2;VN
MO-EI;5KU-AR-BR;1;1;VN
MO-EL;5XG-SM;4;4;VN
MO-EM;5BY-IL-EF;2;2;VN
MO-ES;5XG-ST;4;4;VN
MO-II;5BY-SK-FY;2;2;VN
MO-IL;5XG-SM;4;4;VN
MO-IM;5KU-AR-KA,MO;2;2;VN
MO-IS;5KU-FA,5XG-ST;3;3;VN
MO-MA;5KU-AR-DA;2;2;VN
MO-BB;5KU-BE;0;0;VN
MO-BG;5KU-AR-GA,HT,MØ,NT,RU,SA,TU;2;2;VN
MO-BR;5KU-AR-BV;1;1;VN
MO-BS;5BY,5KU-AR-SB;4;4;VN
MO-BT;5BY;4;4;VN
MO-BX;5BY;4;4;VN
MO-FE;5BY-IL-VM,5BY-SK-AN;2;2;VN
MO-GJ;5KU-AR-LG,SP;1;1;VN
MO-GK;5KU-AR-KN,VO;0;0;VN
MO-GR;5KU-AR-FA,SY;1;1;VN
MO-GT;5AB-DO-GU,5KU-AR-GU;2;2;VN
MO-HA;5KU-AR-GÅ,KU;1;1;VN
MO-KR;5AB-TO-KL;4;4;VN
MO-MU;5AB-DO-GR,LT,ST,TT;3;3;VN
MO-RG;5AB-TO-RG;4;4;VN
MO-SG;5KU-AR-LG,SG;3;3;VN
MO-SH;5KU-AR-DE,GR,RY;2;2;VN
MO-SK;5AB-JB;4;4;VN
MO-TD;5AB-DO-FY,ST,TØ;3;3;VN
MO-TL;5BY;4;4;VN
MO-TM;5AB-FO;4;4;VN
MO-TS;5XG-SM;4;4;VN
MO-VF;5AB-TO-VE,VF,VG,VK,VR;2;2;VN
MO-VL;5AB-TO-VK,VP,VS;2;2;VN
RM-AI;KLG-KLG-AI,AIKS;4;4;VN
RM-AI_0;KLG-AI-1,AIKS-1;4;4;VN
RM-AI_a;KLG-AI-1,AIKS-1;4;4;VN
RM-AI_b;KLG-AI-2,AIKS-1;4;4;VN
RM-AI_c;KLG-AI-3,AIKS-2;4;4;VN
RM-AI_d;KLG-AI-4,AIKS-3;4;4;VN
RM-AI_e;KLG-AI-4,AIKS-3;4;4;VN
RM-JP;KLG-JP;4;4;VN
RM-JP_0;KLG-JP-1;4;4;VN
RM-JP_a;KLG-JP-1;4;4;VN
RM-JP_b;KLG-JP-2;4;4;VN
LM-BM_E;7FA;;;VN
LM-HR_A;HR-0,SP-0;4;4;VN
LM-HR_B;HR-0;2;2;VN
LM-HR_C;HR-0,SP-a;4;4;VN
LM-HR_D;HR-a;4;4;VN
LM-MK;"SY-b;MK";3;3;VN
LM-MS_A;SX-f;2;2;VN
LM-MS_B;SX-f;2;2;VN
LM-MS_C;SX-f;2;2;VN
LM-MS_D;SX-f;2;2;VN
LM-MS_E;SX-f;2;2;VN
LM-MS_F;SX-f;2;2;VN
LM-MS_G;SX-f;2;2;VN
LM-MS_H;SX-f;2;2;VN
LM-MS_I;SX-f;2;2;VN
LM-MS_J;SX-f;2;2;VN
LM-MT_A;SX-h;3;3;VN
LM-MT_B;SX-h;2;2;VN
LM-MT_C;SX-h;1;1;VN
LM-MT_D;SX-h;1;1;VN
LM-MT_E;SX-e;4;4;VN
LM-MT_F;SX-g;1;1;VN
LM-MT_G;SX-g;2;2;VN
LM-MT_H;SX-g;2;2;VN
LM-MT_I;SX-g;2;2;VN
LM-MT_J;SX-g;1;1;VN
LM-MT_K;SX-f;1;1;VN
LM-MT_L;SX-f;1;1;VN
LM-MT_M;SX-f;3;3;VN
LM-MT_N;SX-f;2;2;VN
LM-MV_A;SX-n;4;4;VN
LM-MV_B;SX-m;4;4;VN
LM-MV_C;SX-o;1;1;VN
LM-MV_D;SX-o;1;1;VN
LM-MV_E;SX-o;3;3;VN
LM-MV_F;SX-o;3;3;VN
LM-MY_A;SX-ac;3;3;VN
LM-MY_B;SX-ac;1;1;VN
LM-MY_C;SX-bd;3;3;VN
LM-MY_D;SX-bd;1;1;VN
LM-MY_E;SX-bd;1;1;VN
LM-MY_F;SX-bd;1;1;VN
LM-KP_KA;7RA-BH;;;VN
LM-KP_KB;7RA-JB;;;VN
LM-KP_KC;7RA-JB;;;VN
LM-KP_KD;7RA-JB;;;VN
LM-KP_KE;7RA-US;;;VN
LM-KP_KG;7GR;;;VN
LM-KP_KH;7VR;;;VN
LM-KP_KI;7VR;;;VN
LM-KP_KJ;7VR;;;VN
LM-KP_KK;7VR;;;VN
LM-KP_KM;7SB-FT-MA;1;1;VN
LM-KP_KO;7EU;;;VN
LM-KR;"SY-b;MK";3;3;VN
LM-HG_0;HI-0ab;3;3;VN
LM-HG_a;HI-cd;1;1;VN
LM-HG_b;HI-e;2;2;VN
LM-HG_c;HI-fgh;2;2;VN
LM-HG_y;HI-i;3;3;VN
LM-HH_0;HI-0;4;4;VN
LM-HH_a;HI-a;4;4;VN
LM-HH_b;HI-bcde;4;4;VN
LM-HH_c;HI-fg;4;4;VN
LM-HH_y;HI-hi;4;4;VN
LM-HM_0;HI-0ab;4;4;VN
LM-HM_a;HI-cde;3;3;VN
LM-HM_b;HI-cdef;2;2;VN
LM-HM_c;HI-fgh;3;3;VN
LM-HM_d;HI-fgh;3;3;VN
LM-HM_y;HI-hi;3;3;VN
KM-MG;7MG;2;2;VN
KM-MG_K0;7MG-BI;;;VN
KM-MG_KA;7MG-OM;4;4;VN
KM-MG_KB;7MG-OL;4;4;VN
KM-MG_KC;7MG-RF;4;4;VN
KM-MG_KD;7MG-OM;4;4;VN
KM-MG_KE;7EU;4;4;VN
KM-MG_KF;7MG-UO;4;4;VN
KM-MG_KG;7MG-UO;4;4;VN
KM-MG_KH;7SU;4;4;VN
KM-MG_KU;7MG-XF;4;4;VN
KM-AJ;7JB;;;VN
KM-AJ_KA;7JB-VA;4;4;VN
KM-AJ_KB;7JB-BR;4;4;VN
KM-AJ_KC;7JB-SU;4;4;VN
KM-AJ_KH;7JB-GJ;4;4;VN
KM-AS_KB;7SB-KA;4;4;VN
KM-HG;7SB;;;VN
KM-HG_KA;7SB-HI-LG-GH;4;4;VN
KM-HG_KB;7SB-HI-LG-KH;4;4;VN
KM-HG_KC;7SB-HI-LG-SH;4;4;VN
KM-HG_KU;7SB-HI-LG-0;4;4;VN
KM-HI;7SB;;;VN
KM-HI_KA;7SB-HI-IH-FR;4;4;VN
KM-HI_KB;7SB-HI-IH-FT;4;4;VN
KM-HI_KC;7SB-HI-IH-HT;4;4;VN
KM-HI_KD;7SB-HI-IH-MA;4;4;VN
KM-HI_KE;7SB-HI-GR;4;4;VN
KM-HI_KU;7SB-HI-IH-0;4;4;VN
KM-HS;7SB;;;VN
KM-HS_KA;7SB-HI-LS-PH;4;4;VN
KM-HS_KC;7SB-HI-LS-KH;4;4;VN
KM-HS_KU;7SB-HI-LS-0;4;4;VN
KM-HY;7SB;;;VN
KM-HY_KA;7SB-HI-ÅP-FH;4;4;VN
KM-HY_KB;7SB-HI-ÅP-SH;4;4;VN
KM-HY_KU;7SB-HI-ÅP-0;4;4;VN
KM-SF;7SB-FT;;;VN
KM-SF_K0;7SB-FT-NF;4;4;VN
KM-SF_KA;7SB-FT-MA;4;4;VN
KM-SF_KB;7SB-FT-TS;4;4;VN
KM-UM;7SB;;;VN
KM-UM_KA;7SB-UT-UG;4;4;VN
KM-UM_KB;7SB-UT-US;4;4;VN
KM-UM_KC;7SB-UT-UT;4;4;VN
KM-UM_KD;7SB-UT-XH;4;4;VN
KM-KP_KB;7GR;;;VN
KM-KP_KC;7VR;;;VN
KM-KP_KD;7VR;;;VN
KM-KP_KE;7EU;;;VN
KM-KR;"SY-b;MK";3;3;VN
KM-OB;7OB;4;4;VN
KM-OB_0;7OB-1;4;4;VN
KM-OB_1;7OB-2;4;4;VN
KM-OB_2;7OB-3;4;4;VN
KM-OB_y;7OB-4;4;4;VN
KM-SE;7SE;4;4;VN
KM-TK;7TK;4;4;VN
KM-BU;7BU;4;4;VN
KM-AG;7JB-GJ;;;VN
KM-AG_0;7JB-GJ-1;4;4;VN
KM-AG_1;7JB-GJ-2;4;4;VN
KM-AG_2;7JB-GJ-3;4;4;VN
KM-AG_3;7JB-GJ-4;4;4;VN
KM-AG_4;7JB-GJ-5;4;4;VN
KM-AG_y;7JB-GJ-5;4;4;VN
KM-AH;7JB-BA,BT,SI;;;VN
KM-AH_0;7JB-BA-0;4;4;VN
KM-AH_1;7JB-BA-1;4;4;VN
KM-AH_2;7JB-BA-2,3,4,5;4;4;VN
KM-AH_3;7JB-BA-6,7;4;4;VN
KM-AH_y;7JB-BA-8;4;4;VN
KM-AY;7JB-SP;;;VN
KM-AY_0;7JB-SP-1;4;4;VN
KM-AY_1;7JB-SP-2;4;4;VN
KM-AY_2;7JB-SP-3;4;4;VN
KM-AY_y;7JB-SP-4;4;4;VN
KM-BT;7JB-BT;4;4;VN
KM-BT_0;7JB-BT-1;4;4;VN
KM-BT_1;7JB-BT-2;4;4;VN
KM-BT_2;7JB-BT-3;4;4;VN
KM-BT_3;7JB-BT-4;4;4;VN
KM-BT_4;7JB-BT-5;4;4;VN
KM-BT_y;7JB-BT-6;4;4;VN
KM-HA;7SB-HS;4;4;VN
SA-FS_0;FS-0;4;4;VN
SA-FS_A;FS-A;4;4;VN
SA-FS_B;FS-B;4;4;VN
SA-FS_C;FS-C;4;4;VN
SA-FS_D;FS-D;4;4;VN
SA-AD;1AR-A-0;4;4;VN
SA-AD_0;1AR-A-0-0;4;4;VN
SA-AD_B2;1AR-A-0-B2;4;4;VN
SA-AD_B2E;1AR-A-0-B2E;4;4;VN
SA-AD_B2L;1AR-A-0-B2L;4;4;VN
SA-AD_B2V;1AR-A-0-B2V;4;4;VN
SA-AD_BE;1AR-A-0-BE;4;4;VN
SA-AD_BL;1AR-A-0-BL;4;4;VN
SA-AD_BV;1AR-A-0-BV;4;4;VN
SA-AD_B;1AR-A-0-B;4;4;VN
SA-AD_E2;1AR-A-0-E2;4;4;VN
SA-AD_E2B;1AR-A-0-E2B;4;4;VN
SA-AD_E2L;1AR-A-0-E2L;4;4;VN
SA-AD_E2V;1AR-A-0-E2V;4;4;VN
SA-AD_EL;1AR-A-0-EL;4;4;VN
SA-AD_EV;1AR-A-0-EV;4;4;VN
SA-AD_E;1AR-A-0-E;4;4;VN
