Hovedtype;Prosedyrekategori;Hovedtypegruppe;Hovedtypenavn;Kode
04;0;MS;levende organismer med karbonatsubstrater i marine systemer;MS-0-04
05;0;MS;levende marine planter;MS-0-05
06;0;MS;levende marine dyr;MS-0-06
07;0;MS;dødt plantemateriale i marine systemer;MS-0-07
08;0;MS;døde dyr i marine systemer;MS-0-08
09;0;MS;syntetiske livsmedier i marine systemer;MS-0-09
01;0;MU;substratfrie livsmedier i marine systemer;MU-0-01
01;A;O;fast elvebunn;O-A-01
02;A;O;elvesedimentbunn;O-A-02
01;B;O;elve-undervannseng;O-B-01
01;C;O;ferskvannskildebunn;O-C-01
02;C;O;varm ferskvannskildebunn;O-C-02
03;C;O;dy- og gytjebunn i elv;O-C-03
01;G;O;ny elvebunn;O-G-01
01;M;O;elvebunn preget av kronisk fysisk forstyrrelse;O-M-01
02;M;O;elvebunn preget av kronisk fysikalsk-kjemisk påvirkning;O-M-02
01;A;S;eufotiske havvannmassesystemer sør for iskanten;S-A-01
01;C;S;afotiske havvannmassesystemer;S-C-01
02;C;S;eufotiske fjordvannmassesystemer;S-C-02
03;C;S;afotiske sirkulerende fjordvannmassesystemer;S-C-03
04;C;S;marine vannmassesystemer preget av oksygenmangel;S-C-04
05;C;S;marine vannmassesystemer i poller og littoralbasseng;S-C-05
06;C;S;marine vannmassesystemer nær og nord for iskanten;S-C-06
07;C;S;marine vannmassesystemer på polar havis;S-C-07
01;M;S;nye marine vannmassesystemer;S-M-01
02;M;S;marine vannmassesystemer preget av kronisk fysisk påvirkning;S-M-02
03;M;S;marine vannmassesystemer preget av kronisk fysikalsk-kjemisk påvirkning;S-M-03
01;A;T;nakent berg;T-A-01
02;A;T;åpen grunnlendt mark;T-A-02
03;A;T;arktisk-alpin hei og leside;T-A-03
04;A;T;arktisk-alpin grasmark;T-A-04
01;B;T;fastmarksskogsmark;T-B-01
01;C;T;strandberg;T-C-01
02;C;T;grotte og overheng;T-C-02
03;C;T;løsmasse-strand;T-C-03
04;C;T;saltanrikningsmark;T-C-04
05;C;T;strandeng;T-C-05
06;C;T;fuglefjell-eng;T-C-06
07;C;T;fugletopp;T-C-07
08;C;T;snøleie;T-C-08
01;D;T;rasmark;T-D-01
02;D;T;flomskredmark;T-D-02
03;D;T;rasmarkeng;T-D-03
04;D;T;fosse-eng;T-D-04
05;D;T;naturlig beitebetinget eng;T-D-05
06;D;T;rabbe;T-D-06
01;E;T;sanddynemark;T-E-01
02;E;T;aktiv skredmark;T-E-02
03;E;T;åpen flomfastmark;T-E-03
04;E;T;langvarig oversvømt flommark;T-E-04
05;E;T;oppfrysingsmark;T-E-05
06;E;T;marin driftvoll;T-E-06
07;E;T;ferskvannsdriftvoll;T-E-07
08;E;T;flommarkseng;T-E-08
09;E;T;isinnfrysingsmark;T-E-09
01;F;T;sand- og dyneskogsmark;T-F-01
02;F;T;flomskogsmark;T-F-02
01;G;T;nakne løsmasser;T-G-01
01;H;T;avskoget hei og eng;T-H-01
01;I;T;klart endret skogsmark;T-I-01
01;K;T;semi-naturlig eng;T-K-01
02;K;T;semi-naturlig strandeng;T-K-02
03;K;T;kystlynghei;T-K-03
01;L;T;ny eng med semi-naturlig preg;T-L-01
01;M;T;hard sterkt endret fastmark;T-M-01
02;M;T;ny hard fastmark på tørrlagt ferskvannsbunn;T-M-02
03;M;T;løs sterkt endret fastmark;T-M-03
04;M;T;ny løs fastmark på tørrlagt ferskvannsbunn;T-M-04
05;M;T;ny løs fastmark på drenert våtmark;T-M-05
06;M;T;sterkt endret skogsmark;T-M-06
01;N;T;blomsterbed og annen hyppig bearbeidet mark;T-N-01
02;N;T;blomsterenger, usprøytete vegkanter og liknende med semi-naturlig hevdpreg;T-N-02
03;N;T;vegkanter, plener, parker og liknende uten semi-naturlig hevdpreg;T-N-03
01;O;T;åker;T-O-01
02;O;T;oppdyrket mark med semi-naturlig engpreg;T-O-02
03;O;T;oppdyrket varig eng;T-O-03
04;O;T;upløyd jordbruksmark med intensivt hevdpreg;T-O-04
01;0;TS;grovere uorganiske substrater på land;TS-0-01
02;0;TS;finere uorganiske substrater på land;TS-0-02
03;0;TS;organisk jord;TS-0-03
04;0;TS;levende, ikke forvedete planter på land;TS-0-04
05;0;TS;bladverk, nåleverk og reproduktive deler av levende forvedete planter på land;TS-0-05
06;0;TS;ved-livsmedier;TS-0-06
07;0;TS;lav og markboende sopp;TS-0-07
08;0;TS;levende dyr og dyrebo;TS-0-08
09;0;TS;dødt plantemateriale;TS-0-09
10;0;TS;dødt animalsk materiale;TS-0-10
11;0;TS;dyremøkk og fuglegjødsel;TS-0-11
12;0;TS;syntetiske livsmedier på land;TS-0-12
01;0;TU;snø og is på land;TU-0-01
02;0;TU;luft;TU-0-02
01;0;U;substratfrie livsmedier i ferskvann;U-0-01
01;A;V;åpen jordvannsmyr;V-A-01
01;B;V;myr- og sumpskogsmark;V-B-01
01;C;V;åpen nedbørsmyr;V-C-01
02;C;V;torvmarkskilde;V-C-02
03;C;V;grunnkilde;V-C-03
04;C;V;våt- og kildesnøleie;V-C-04
05;C;V;permafrost-våtmark;V-C-05
01;E;V;oppfrysingsvåtmark;V-E-01
01;F;V;nedbørsmyr-skogsmark;V-F-01
02;F;V;strandsumpskogsmark;V-F-02
01;G;V;ny naturgitt torvmark;V-G-01
02;G;V;ny naturgitt grunn våtmark;V-G-02
01;I;V;klart endret våtmarksskogsmark;V-I-01
01;K;V;slåttemyr;V-K-01
02;K;V;semi-naturlig våteng;V-K-02
01;M;V;sterkt endret torvmark;V-M-01
02;M;V;ny torvmark på tidligere ferskvannsbunn;V-M-02
03;M;V;ny torvmark på menneskebetinget forsumpet fastmark;V-M-03
04;M;V;sterkt endret, ikke torvproduserende våtmark;V-M-04
05;M;V;ny grunn våtmark på tidligere ferskvannsbunn;V-M-05
06;M;V;ny grunn våtmark på menneskebetinget forsumpet fastmark;V-M-06
01;O;V;sterkt tråkkpreget våtmark;V-O-01
